"grid","D","K"
"0000-0000-1011-1100",4.68733492712969e-09,27.6685849696781
"0000-0000-1011-1101",6.94706466097634e-10,30.4228774233526
"0000-0000-1011-1110",9.76026775255521e-10,29.9323602232181
"0000-0000-1011-1111",1.42923322035509e-09,29.3821115013061
"0000-0000-1100-0000",2.847207898806e-08,25.065876918767
"0000-0000-1100-0001",1.01845400314379e-08,26.5490439343521
"0000-0000-1100-0010",1.54067273182395e-08,25.9518643205543
"0000-0000-1100-0011",1.526778602502e-08,25.9649338863747
"0000-0000-1100-0100",1.64231473354413e-08,25.8596941271037
"0000-0000-1100-0101",4.22123702183449e-09,27.8196870153031
"0000-0000-1100-0110",6.65800947570108e-09,27.1622619302583
"0000-0000-1100-0111",5.56366774353903e-09,27.4213165877835
"0000-0000-1100-1000",1.9106289917491e-08,25.6413770978575
"0000-0000-1100-1001",5.08496485494145e-10,30.8730431460351
"0000-0000-1100-1010",1.94661048953956e-09,28.9363886196597
"0000-0000-1100-1011",4.02213558103537e-10,31.2113192350099
"0000-0000-1100-1100",8.60977654931888e-09,26.7913770583354
"0000-0000-1100-1101",2.12795036295803e-09,28.8078883553791
"0000-0000-1100-1110",1.97554465575641e-09,28.9151023962254
"0000-0000-1100-1111",2.15115499131016e-09,28.792241378905
"0000-0000-1101-0000",1.76598680835417e-08,25.7549501927791
"0000-0000-1101-0001",1.71055352951298e-09,29.1228896019386
"0000-0000-1101-0010",1.04340614054466e-08,26.5141239301977
"0000-0000-1101-0011",4.68733492712969e-09,27.6685849696781
"0000-0000-1101-0100",6.4188012698489e-09,27.2150489590561
"0000-0000-1101-0101",2.45310163678105e-09,28.6027458451856
"0000-0000-1101-0110",5.15371930931812e-09,27.5317388891756
"0000-0000-1101-0111",9.76026775255521e-10,29.9323602232181
"0000-0000-1101-1000",1.62174569260978e-09,29.1998052469929
"0000-0000-1101-1001",3.80956972625416e-09,27.9677247929747
"0000-0000-1101-1010",1.62804818426097e-09,29.1942094552632
"0000-0000-1101-1011",6.94706466097634e-10,30.4228774233526
"0000-0000-1101-1100",2.52729915212921e-09,28.5597564102223
"0000-0000-1101-1101",1.34873321335574e-09,29.465747850276
"0000-0000-1101-1110",1.34357662927749e-09,29.4712742479117
"0000-0000-1101-1111",1.42923322035509e-09,29.3821115013061
"0000-0000-1110-0000",1.43536382587034e-08,26.0540082917097
"0000-0000-1110-0001",7.60051845444797e-09,26.971255021463
"0000-0000-1110-0010",5.34365348953368e-09,27.4795263950402
"0000-0000-1110-0011",1.01358389595878e-08,26.5559592511778
"0000-0000-1110-0100",8.04398468517751e-09,26.889442519066
"0000-0000-1110-0101",3.84108218451014e-09,27.9558400216151
"0000-0000-1110-0110",3.86084909014343e-09,27.9484346895424
"0000-0000-1110-0111",6.66001481395373e-09,27.1618274676816
"0000-0000-1110-1000",5.99080479135411e-09,27.3146030295191
"0000-0000-1110-1001",4.10234911114149e-10,31.1828306780502
"0000-0000-1110-1010",1.21895918071977e-09,29.6117030387412
"0000-0000-1110-1011",4.76411073451697e-10,30.9670740020272
"0000-0000-1110-1100",6.71673723881449e-09,27.1495922627215
"0000-0000-1110-1101",5.13939546465631e-10,30.8576822803952
"0000-0000-1110-1110",1.19489512168793e-09,29.6404688584253
"0000-0000-1110-1111",1.10264956206589e-09,29.7563784995036
"0000-0000-1111-0000",2.05816459176571e-08,25.5340663996905
"0000-0000-1111-0001",2.31673863560065e-09,28.6852575591973
"0000-0000-1111-0010",7.19458069673236e-09,27.0504422454602
"0000-0000-1111-0011",4.13787224590277e-09,27.8484637503658
"0000-0000-1111-0100",7.19458069673236e-09,27.0504422454602
"0000-0000-1111-0101",2.74616749856162e-09,28.4399332306955
"0000-0000-1111-0110",5.70719266705034e-09,27.3845715867304
"0000-0000-1111-0111",1.70195922271589e-09,29.1301563821153
"0000-0000-1111-1000",2.31673863560065e-09,28.6852575591973
"0000-0000-1111-1001",8.30210036598327e-10,30.1658045757576
"0000-0000-1111-1010",2.74616749856162e-09,28.4399332306955
"0000-0000-1111-1011",6.88117497553203e-10,30.4366260196089
"0000-0000-1111-1100",4.13787224590277e-09,27.8484637503658
"0000-0000-1111-1101",6.88117497553203e-10,30.4366260196089
"0000-0000-1111-1110",1.70195922271589e-09,29.1301563821153
"0000-0000-1111-1111",1.3246691543239e-09,29.4917207728138
"0000-0001-0000-0000",4.75591749537042e-08,24.3257010713602
"0000-0001-0000-0001",9.21538870162008e-09,26.6933078345141
"0000-0001-0000-0010",2.49830769053371e-08,25.2544735894907
"0000-0001-0000-0011",1.97640408643611e-09,28.914474910152
"0000-0001-0000-0100",4.61050182436375e-08,24.3705009715421
"0000-0001-0000-0101",1.28570829684379e-09,29.5347894947057
"0000-0001-0000-0110",1.32999762453809e-08,26.1640010901169
"0000-0001-0000-0111",7.81508964748184e-10,30.2530185262903
"0000-0001-0000-1000",3.69612487653265e-08,24.6894112589166
"0000-0001-0000-1001",1.18973853760968e-09,29.6467082988897
"0000-0001-0000-1010",1.26024050103509e-08,26.2417256789125
"0000-0001-0000-1011",7.13613941051219e-10,30.3841371490736
"0000-0001-0000-1100",3.51363909554123e-08,24.7624587469822
"0000-0001-0000-1101",1.06512108905196e-09,29.806335400395
"0000-0001-0000-1110",1.27926256674597e-08,26.2201123534679
"0000-0001-0000-1111",9.19590827288002e-10,30.0182888733048
"0000-0001-0001-0000",1.32655990181926e-08,26.1677349360718
"0000-0001-0001-0001",6.20308416924209e-09,27.2643671531094
"0000-0001-0001-0010",1.14673835593494e-08,26.3778885008355
"0000-0001-0001-0011",2.04458558702632e-09,28.8655443981682
"0000-0001-0001-0100",1.32999762453809e-08,26.1640010901169
"0000-0001-0001-0101",7.81508964748184e-10,30.2530185262903
"0000-0001-0001-0110",1.01218015918192e-08,26.5579586591599
"0000-0001-0001-0111",8.77192247089054e-10,30.0863878878147
"0000-0001-0001-1000",2.92292374168831e-09,28.3499406638855
"0000-0001-0001-1001",3.48928855961616e-10,31.4163480374082
"0000-0001-0001-1010",2.92149135722213e-09,28.3506478326859
"0000-0001-0001-1011",1.22268338033184e-09,29.6073019944901
"0000-0001-0001-1100",5.56911080451052e-09,27.4199058568213
"0000-0001-0001-1101",3.58669070331644e-10,31.3766276083819
"0000-0001-0001-1110",2.77051803448669e-09,28.4271970957952
"0000-0001-0001-1111",6.82960913474952e-10,30.4474779348523
"0000-0001-0010-0000",2.49868011049492e-08,25.2542585445662
"0000-0001-0010-0001",3.76860353052139e-09,27.9833228272612
"0000-0001-0010-0010",1.54067273182395e-08,25.9518643205543
"0000-0001-0010-0011",1.94661048953956e-09,28.9363886196597
"0000-0001-0010-0100",3.94971422242528e-08,24.5936764867724
"0000-0001-0010-0101",1.39628837763294e-09,29.4157559195911
"0000-0001-0010-0110",7.45527466957725e-09,26.9990913482734
"0000-0001-0010-0111",1.51689514968535e-09,29.2962314864348
"0000-0001-0010-1000",3.96383753326182e-08,24.5885269274425
"0000-0001-0010-1001",3.79295406644646e-10,31.2959590485073
"0000-0001-0010-1010",4.63319079430806e-09,27.6853467603622
"0000-0001-0010-1011",4.68103243547849e-10,30.9924541871688
"0000-0001-0010-1100",3.36343926041752e-08,24.8254875539951
"0000-0001-0010-1101",6.34259841624809e-10,30.5542069485329
"0000-0001-0010-1110",5.74672647831692e-09,27.3746124698149
"0000-0001-0010-1111",7.21635294061831e-10,30.3680110485802
"0000-0001-0011-0000",6.90266074252474e-09,27.1102002746871
"0000-0001-0011-0001",6.86799703844317e-09,27.1174634367523
"0000-0001-0011-0010",6.65800947570108e-09,27.1622619302583
"0000-0001-0011-0011",1.97554465575641e-09,28.9151023962254
"0000-0001-0011-0100",7.45527466957725e-09,26.9990913482734
"0000-0001-0011-0101",1.51689514968535e-09,29.2962314864348
"0000-0001-0011-0110",4.78702888597586e-09,27.6382223423659
"0000-0001-0011-0111",3.39933481514001e-09,28.1321003878545
"0000-0001-0011-1000",3.45147360970899e-09,28.1101404006426
"0000-0001-0011-1001",2.2918151458891e-10,32.0227902655398
"0000-0001-0011-1010",4.45614807428812e-09,27.7415556808927
"0000-0001-0011-1011",9.57978730981645e-10,29.9592873232336
"0000-0001-0011-1100",9.22083176259157e-09,26.6924559595526
"0000-0001-0011-1101",2.69574756535206e-10,31.7885955425859
"0000-0001-0011-1110",5.69773892957354e-09,27.3869633351041
"0000-0001-0011-1111",1.37766737957259e-09,29.4351252444388
"0000-0001-0100-0000",2.91140737058022e-08,25.0337080404225
"0000-0001-0100-0001",3.12632233588597e-09,28.2528863205591
"0000-0001-0100-0010",1.03859332873829e-08,26.5207938954844
"0000-0001-0100-0011",1.16395561721843e-09,29.6783168060834
"0000-0001-0100-0100",3.31333445179052e-08,24.8471409210328
"0000-0001-0100-0101",4.84145949569073e-10,30.9438389241449
"0000-0001-0100-0110",5.23822999282278e-09,27.5082734490858
"0000-0001-0100-0111",2.26889699443021e-10,32.0372898352349
"0000-0001-0100-1000",3.98583895866236e-08,24.5805413374901
"0000-0001-0100-1001",3.67549854021965e-10,31.3413410002248
"0000-0001-0100-1010",5.18981539786587e-09,27.5216696312644
"0000-0001-0100-1011",3.89895051694384e-10,31.2561951038105
"0000-0001-0100-1100",2.16476264373888e-08,25.461215910347
"0000-0001-0100-1101",5.8670467734761e-10,30.6666464553145
"0000-0001-0100-1110",3.48699674447027e-09,28.0953678367999
"0000-0001-0100-1111",3.37183303338934e-10,31.465747850276
"0000-0001-0101-0000",2.94985256965251e-09,28.3367100020021
"0000-0001-0101-0001",1.96637739517285e-09,28.9218126178149
"0000-0001-0101-0010",4.5051356230315e-09,27.7257823162649
"0000-0001-0101-0011",1.25591469994723e-09,29.568614372354
"0000-0001-0101-0100",1.43235581849137e-08,26.057034835067
"0000-0001-0101-0101",6.50589024539269e-10,30.5175344646076
"0000-0001-0101-0110",4.65553599198047e-09,27.6784055791223
"0000-0001-0101-0111",4.01927081210301e-10,31.2123471616946
"0000-0001-0101-1000",3.04610880577985e-09,28.2903853787548
"0000-0001-0101-1001",2.35484006240105e-10,31.9836518716328
"0000-0001-0101-1010",4.3997121263206e-09,27.7599437228537
"0000-0001-0101-1011",4.75551642771989e-10,30.9696789290802
"0000-0001-0101-1100",4.71827443159919e-09,27.6590935207008
"0000-0001-0101-1101",2.59548065271941e-10,31.8432792152683
"0000-0001-0101-1110",6.19706815448413e-09,27.2657670190323
"0000-0001-0101-1111",4.13672633832983e-10,31.1707914284273
"0000-0001-0110-0000",1.39749158058453e-08,26.0925851677553
"0000-0001-0110-0001",1.5054360739559e-09,29.3071714064649
"0000-0001-0110-0010",8.32272670229627e-09,26.8402965905944
"0000-0001-0110-0011",1.48566916832261e-09,29.3262399644612
"0000-0001-0110-0100",2.08277295689469e-08,25.516919179353
"0000-0001-0110-0101",2.92206431100861e-10,31.6722930184556
"0000-0001-0110-0110",4.02500034996774e-09,27.8883639453188
"0000-0001-0110-0111",2.417864978913e-10,31.9455472666073
"0000-0001-0110-1000",3.83904819856816e-08,24.6346760860204
"0000-0001-0110-1001",2.5295909672751e-10,31.880376827666
"0000-0001-0110-1010",2.12422616334596e-09,28.8104154779725
"0000-0001-0110-1011",2.84758031876721e-10,31.7095444137522
"0000-0001-0110-1100",3.03891823575963e-08,24.971866900445
"0000-0001-0110-1101",3.53512486253394e-10,31.3975197761651
"0000-0001-0110-1110",4.56844701643669e-09,27.7056490305964
"0000-0001-0110-1111",4.59795413644001e-10,31.0182888733048
"0000-0001-0111-0000",3.40219958407237e-09,28.1308850773278
"0000-0001-0111-0001",1.10580080789149e-09,29.752261323159
"0000-0001-0111-0010",4.99587054114501e-09,27.5766167613614
"0000-0001-0111-0011",1.24187733217866e-09,29.5848301772053
"0000-0001-0111-0100",5.84155032997809e-09,27.3510015471165
"0000-0001-0111-0101",3.72992914993451e-10,31.3201327221488
"0000-0001-0111-0110",6.19821406205708e-09,27.265500273161
"0000-0001-0111-0111",1.04621361409838e-09,29.8321754053303
"0000-0001-0111-1000",4.47133134962964e-09,27.7366483927055
"0000-0001-0111-1001",2.09128132062381e-10,32.1548938015471
"0000-0001-0111-1010",6.70470520929857e-09,27.1521789524952
"0000-0001-0111-1011",3.44058748776601e-10,31.4366260196089
"0000-0001-0111-1100",9.71930155682245e-09,26.6165002105989
"0000-0001-0111-1101",3.72706438100215e-10,31.3212412085967
"0000-0001-0111-1110",1.06815774412026e-08,26.4803000410481
"0000-0001-0111-1111",9.72875529429924e-10,29.9370257117614
"0000-0001-1000-0000",1.98849341133068e-08,25.5837489771702
"0000-0001-1000-0001",1.61515672406534e-09,29.2056786927441
"0000-0001-1000-0010",7.02068922253803e-09,27.0857401868284
"0000-0001-1000-0011",7.04446680467663e-10,30.4027904357184
"0000-0001-1000-0100",1.50850137671353e-08,25.9823087459574
